ISO3,Name,Status,Stay
AFG,Afghanistan,Visa required,0
ALB,Albania,Visa not required,90 days
DZA,Algeria,Visa required,0
AND,Andorra,Visa not required,90 days
AGO,Angola,eVisa,30 days
ATG,Antigua and Barbuda,Visa not required,180 days
ARG,Argentina,Visa not required,90 days
ARM,Armenia,Internal passport,180 days
AUS,Australia,Visa required,0
AUT,Austria,Visa required,0
AZE,Azerbaijan,Visa not required,90 days
BHS,Bahamas,Visa not required,3 months
BHR,Bahrain,eVisa / Visa on arrival,"14 days/
 1 month"
BGD,Bangladesh,Visa on arrival,30 days
BRB,Barbados,Visa not required,28 days
BLR,Belarus,Internal passport,Freedom of movement
BEL,Belgium,Visa required,0
BLZ,Belize,Visa not required,90 days
BEN,Benin,eVisa / Visa on arrival,30 days / 8 days
BTN,Bhutan,Visa required,0
BOL,"Bolivia, Plurinational State of",Visa not required,90 days
BIH,Bosnia and Herzegovina,Visa not required,30 days
BWA,Botswana,Visa not required,90 days
BRA,Brazil,Visa not required,90 days
BRN,Brunei Darussalam,Visa not required,14 days
BGR,Bulgaria,Visa required,0
BFA,Burkina Faso,Visa required,0
BDI,Burundi,Visa required,0
KHM,Cambodia,eVisa / Visa on arrival,30 days
CMR,Cameroon,Visa required,0
CAN,Canada,Visa required,0
CPV,Cape Verde,Visa not required,60 days
CAF,Central African Republic,Visa required,0
TCD,Chad,Visa required,0
CHL,Chile,Visa not required,90 days
CHN,China,Visa required,0
COL,Colombia,Visa not required,90 days
COM,Comoros,Visa on arrival,45 days
COG,Congo,Visa required,0
COD,"Congo, the Democratic Republic o",Visa required,0
CRI,Costa Rica,Visa not required,90 days
CIV,Cote d'Ivoire,eVisa,3 months
HRV,Croatia,Visa required,0
CUB,Cuba,Visa not required,90 days
CYP,Cyprus,Visa required,0
CZE,Czech Republic,Admission refused for tourists,0
DNK,Denmark,Visa required,0
DJI,Djibouti,eVisa,31 days
DMA,Dominica,Visa not required,90 days
DOM,Dominican Republic,Visa not required,60 days
ECU,Ecuador,Visa not required,90 days
EGY,Egypt,eVisa / Visa on arrival,30 days
SLV,El Salvador,Visa not required,3 months
GNQ,Equatorial Guinea,Visa required,0
ERI,Eritrea,Visa required,0
EST,Estonia,Admission refused for tourists,0
ETH,Ethiopia,eVisa,up to 90 days
FJI,Fiji,Visa not required,4 months
FIN,Finland,Admission refused for tourists,0
FRA,France,Visa required,0
GAB,Gabon,eVisa,90 days
GMB,Gambia,Visa required,0
GEO,Georgia,Visa not required,360 days
DEU,Germany,Visa required,0
GHA,Ghana,Visa required,0
GRC,Greece,Visa required,0
GRD,Grenada,Visa not required,3 months
GTM,Guatemala,Visa not required,90 days
GIN,Guinea,eVisa,90 days
GNB,Guinea-Bissau,eVisa / Visa on arrival,90 days
GUY,Guyana,Visa not required,3 months
HTI,Haiti,Visa not required,3 months
HND,Honduras,Visa not required,3 months
HUN,Hungary,Visa required,0
ISL,Iceland,Visa required,0
IND,India,eVisa,90 days
IDN,Indonesia,Visa on arrival,30 days
IRN,"Iran, Islamic Republic of",eVisa,30 days
IRQ,Iraq,Visa on arrival,60 days
IRL,Ireland,Visa required,0
ISR,Israel,Visa not required,3 months
ITA,Italy,Visa required,0
JAM,Jamaica,Visa not required,90 days
JPN,Japan,Visa required,0
JOR,Jordan,Visa on arrival,2 months
KAZ,Kazakhstan,Internal passport,90 days
KEN,Kenya,eVisa,3 months
